;Stemming
513;pilih prabowo ganjar lanjut jokowi lihat nyata moga anies bawa ubah indonesia presiden
515;indonesia merdeka jajah budak bangsa diri kalah singapura
516;saran calon presiden indonesia merdeka diri kaki budakantekboneka negara bangsa
517;golput its punya choice hidup negara diri kaki negara tek kontribusi
518;mohon maaf ganjarkarna bebas percaya aparat desa salah penting pribadicoba lihat pegawe kerja desa milik fasilitas mewah tra rakyat cekik lapar bantu perintah sembako mahaltdk seprti zaman suharto raskin bantu
519;tolong gendut kelompok orang tra buruh cekik serba mahal
520;sejahtera pilih anies pilih prabowo pasu orang orba ganjar pdip pilih anies
521;orang militer mah gaung suara mantap lucu jugakarena tawa sesuai tonton prabowo bicara brbrdiantara tiga bakal calon presiden anies rasyid baswedan tenang kalem bijaksana sikap komentar dllmantap
523;berani nunjukin konfrontasi well enggak anies coba narasi otobiografi ganjar cari simpati selip nasihat orangtua prabowo lari tantang lempar bola panas engaging audience
524;bilang jadi beban bilang beban anies
525;terima kasih mata najwa acara nilai pribadi sesi bacapresbr anies baswedan jawab sasar wibawa ice breaking berlebihanbr ganjar pranowo self centric jawab guyon kebanyakanbr prabowo berapiapi monoton
528;juang prabowo gagal goolmengenai gagasa calon jujur prabowo orgnyagass indonesia
530;tunggu hadir prabowo ganjar bem universitas indonesia
534;pilih satu rakyat indonesia sabang merauke anies lai lengkap
536;lepas janji calon presiden manis semangat kasihan prabowo kali gajadi presiden lgmudahan tepat gagas bawa indonesia maju
537;gagas utara bakal calon presiden fisik pilih anies baswedan kuat pimpin indonesia maju bismillah anies baswedan
538;indonesia jaya indnesia jaya merdeka maju negarakua aboutinvalidaa aboutinvalidaa aboutinvalida
539;profesi pandu acara jurnalis apa cibir profesi mulia profesi alangkah baik cibir profesi mncari suara sisi cibir profesi pilih siie ogah
541;moga pilih nilai negara lemah sisi pimpin negara keras rakyat tekan
545;utama praktik langsung lapang teori
546;ganjar tameng angkat prabowo sejati tarung anies prabowo
547;tarik aniesbrgakda munafik grasa grusu main curangbrbrbrpokoke jos tenan anies
548;maaf iya numpang brsaya prabowo iya coba ahy geser pasti ber laki laki sejati pakyg sifat nikung tikung selamat tinggal iya
549;cari komen keritik banyak komen pilih bla bla bla gampang omong manis mah dengar ngantuk muter muter lihat komen aboutinvalidaa aboutinvalidaa aboutinvalida
550;kaku penyampain masaladari cerdaslinca sampai kerja tidk bua hasil iya bungbanyak orang bilang prabowo lihat kerja prabowo menteri tahan lihat hasil hemm prabowo senggol
551;asli anies jago omong masuk akal aslibrbrdari sekian calon presiden anies gagas bagusmoderenmasuk akal future
555;kakak nana tolong bantu usut khasus sianida
556;moga pdi pdi moga pilih jujur amanah integritas cerdas berani berantass korupsi
557;saatx perubahankapan biar utang tumpuk luar standar
559;mohon calon presiden publik elekt propessional
560;mohon muncul gambar sesuai urut publik tonton gembira
562;jawabaann jelass logiss kompitable anies rasyid baswedan netizenn nilaai masingg capress majuu anies moga realisasi pemimpinn negeri indonesia
